# submitted_item	validated_id	current_symbol
A8DZ00	FBgn0264894	CG44085
Q9VM02	FBgn0264895	RapGAP1
A0A0B4KFK5	FBgn0264897	CG44088
A1ZAG3	FBgn0034128	CG4409
A0A0B4KG57	FBgn0264899	CG44090
A0A0B4KG55	FBgn0264903	CG44094
D2NUL5	FBgn0264907	CG44098
Q9VUV2	FBgn0264908	pHCl-1
A0A0B4KED2	FBgn0264911	CG44102
Q24407	FBgn0016119	ATPsynCF6
M9MSG8	FBgn0264953	Piezo
Q9V9J3	FBgn0264959	Src42A
Q9VDQ4	FBgn0038767	trem
M9PBT0	FBgn0264988	CG44139
Q9W228	FBgn0040091	Ugt317A1
M9PBB7	FBgn0264989	CG44140
M9PBB7	FBgn0264990	CG44141
M9PBB7	FBgn0264989	CG44140
M9PBB7	FBgn0264990	CG44141
A0A0B4KH11	FBgn0264991	CG44142
Q9VPV7	FBgn0031296	CG4415
Q9VL88	FBgn0265001	ppk18
Q9VL42	FBgn0265002	CG44153
A0A0B4KEE4	FBgn0265003	koi
A0A0B4KHC1	FBgn0265041	CG44158
A8JR87	FBgn0265042	Irk1
Q8MYR8	FBgn0265045	Strn-Mlck
A0A0B4KGB5	FBgn0265046	CG44163
B7YZP4	FBgn0265052	St3
A0A0B4KGB6	FBgn0265063	CG44174
Q2M1E6	FBgn0265082	Cdep
A0A0B4KFX0	FBgn0265083	CG44194
M9PEG1	FBgn0265084	CG44195
Q9VXF9	FBgn0030753	rngo
Q9VG92	FBgn0010044	GstD8
A0A1Z1CH16	FBgn0265146	CG44215
Q9VLB7	FBgn0004868	Gdi
A0A0B4KFD0	FBgn0265158	CG44227
Q9VG94	FBgn0010042	GstD6
Q9V7W1	FBgn0265174	PIG-V
Q9VDQ6	FBgn0038765	CG4424
A8DYE2	FBgn0265194	Trpm
B7YZH7	FBgn0265177	CG44242
Q8SX78	FBgn0265178	CG44243
E1JGQ3	FBgn0265191	Gyg
A0A0B4LH29	FBgn0265180	CG44245
Q2PE13	FBgn0265193	Atf-2
Q9W0Z5	FBgn0265182	CG44247
Q95RQ4	FBgn0265192	Snp
A0A0B4LGA2	FBgn0265184	CG44249
C6SV36	FBgn0265185	CG44250
A0A0B4LGA9	FBgn0265186	CG44251
Q9W1W0	FBgn0265187	Fatp2
E1JGT2	FBgn0265188	CG44253
Q9I7H9	FBgn0265189	sud1
Q9VC10	FBgn0265190	PIG-S
A0A0B4LH88	FBgn0265197	CG44257
A0A0B4LIB4	FBgn0265199	CG44259
Q9VPW1	FBgn0015905	ast
Q6IKE6	FBgn0265201	CG44261
Q8IPV7	FBgn0043364	cbt
D4G7F4	FBgn0265256	CG44270
X2J791	FBgn0265257	CG44271
M9PBM3	FBgn0031298	Atg4a
A0A0B4LEI2	FBgn0265313	CG44286
X2JC79	FBgn0262734	eIF4H1
A0A0B4LI00	FBgn0265317	CG44290
A0A0B4LF36	FBgn0265342	CG44296
X2JEC8	FBgn0265362	CG44303
A0A0B4LF62	FBgn0265373	CG44314
Q9GNK5	FBgn0035976	PGRP-LC
X2JEK2	FBgn0265413	CG44325
G4LU05	FBgn0265416	Neto
X2JCP1	FBgn0265417	CG44329
A0A0B4K6Q5	FBgn0038763	PIG-L
A0A0B4LGS7	FBgn0265423	CG44335
Q9VCN3	FBgn0039071	bb8
A0A0B4LF84	FBgn0265429	CG44341
Q9VLC1	FBgn0032117	FucTB
G4LU19	FBgn0265455	CG44355
Q6ILD5	FBgn0265469	CG44362
Q8SXQ7	FBgn0035977	PGRP-LF
Q9VLC4	FBgn0032115	CG4438
X2JB72	FBgn0265535	CG44385
A0A384SYE0	FBgn0265538	CG44388
Q7K5K9	FBgn0034132	S-Lap8
Q9VJL3	FBgn0040984	CG4440
P91679	FBgn0265575	yin
A0A0B4LFR0	FBgn0265576	CG44403
X2JAL0	FBgn0265578	CG44405
X2J8S3	FBgn0265579	CG44406
M9MS47	FBgn0265595	CG44422
X2JDH0	FBgn0265597	rad
M9PI02	FBgn0265598	Bx
X2JGB2	FBgn0265608	CG44426
X2JK14	FBgn0265610	CG44428
Q9VXE8	FBgn0267384	Ubc7
Q1RKX9	FBgn0265625	CG44433
A0A0C4DHF7	FBgn0265626	CG44434
A0A0B4LFP0	FBgn0265627	CG44435
A8JUV0	FBgn0265630	sno
X2JBL3	FBgn0265629	CG44437
A0A0B4LED6	FBgn0265631	CG44438
A0A0B4LEX3	FBgn0265632	CG44439
A8DYM2	FBgn0003175	px
Q9Y117	FBgn0027558	Pgant3
Q9VSW4	FBgn0035980	mRRF1
Q6IHC8	FBgn0265668	CG44475
R9UAE0	FBgn0265669	CG44476
X2J9G7	FBgn0265670	CG44477
Q9VCN9	FBgn0039067	wda
Q9VCP1	FBgn0039065	Rad60
Q9VDR6	FBgn0038755	Hs6st
M9PEW8	FBgn0035981	CG4452
X2J8Q7	FBgn0265714	CG44521
Q9VXE6	FBgn0061200	Nup153
X2JEK5	FBgn0265725	CG44532
Q9VY99	FBgn0265726	Nna1
Q9VLD6	FBgn0032105	borr
Q9VJK9	FBgn0028506	CG4455
P22978	FBgn0001228	CG4456
A0A0B4LFR5	FBgn0265762	CG44569
P49963	FBgn0015298	Srp19
X2J4U0	FBgn0265785	CG44574
Q9VDR9	FBgn0038753	CG4459
P02515	FBgn0001223	Hsp22
Q9VSX2	FBgn0035982	CG4461
Q9VDS0	FBgn0038752	CG4462
A0A0B4LFY7	FBgn0265833	CG44622
A0A0B4LG35	FBgn0265834	CG44623
A0A0B4LFW7	FBgn0265835	CG44624
A0A0B4LFS1	FBgn0265836	CG44625
P02516	FBgn0001224	Hsp23
P39018	FBgn0010412	RpS19a
Q9VDS2	FBgn0038750	CG4465
P02518	FBgn0001226	Hsp27
Q0KI25	FBgn0039064	CG4467
Q9VDS3	FBgn0038749	Xport-A
A1Z6U7	FBgn0033137	Tsp42Ep
Q8MM24	FBgn0020416	Idgf1
P40421	FBgn0265959	rdgC
Q9V3D4	FBgn0020415	Idgf2
Q9VSV2	FBgn0035969	CG4476
Q9VSV4	FBgn0035971	CG4477
A8JUX7	FBgn0266000	CG44774
Q9VJR1	FBgn0013301	ProtB
Q9V3S3	FBgn0013300	ProtA
Q9VJR3	FBgn0032553	CG4480
A0A0B4LGL7	FBgn0266047	CG44812
X2JD41	FBgn0266050	CG44815
Q9VJQ7	FBgn0086711	mol
Q9VSV3	FBgn0035970	CG4483
Q9W4E2	FBgn0266098	rg
M9PCS8	FBgn0266099	CG44836
Q29R20	FBgn0266100	CG44837
Q0E8G5	FBgn0266101	CG44838
Q9VSV1	FBgn0035968	Slc45-1
Q9V4I0	FBgn0015038	Cyp9b1
Q9V4I1	FBgn0015039	Cyp9b2
X2J683	FBgn0266163	CG44869
A0A0B4LIG1	FBgn0266170	pre-mod(mdg4)-C
A0A0B4LHF4	FBgn0266171	pre-mod(mdg4)-AB
A0A0B4LHQ9	FBgn0266172	pre-mod(mdg4)-E
A0A0B4LHI2	FBgn0266173	pre-mod(mdg4)-K
P54350	FBgn0011737	Wee1
A0A0B4LHE9	FBgn0266174	pre-mod(mdg4)-L
A0A0B4LHE5	FBgn0266175	pre-mod(mdg4)-P
A0A0B4LIF8	FBgn0266176	pre-mod(mdg4)-J
A0A0B4LHQ5	FBgn0266177	pre-mod(mdg4)-I
A0A0B4LHE8	FBgn0266178	pre-mod(mdg4)-B
Q9VEA4	FBgn0266195	Tgs1
Q24423	FBgn0005771	noc
O97102	FBgn0264922	smt3
A2VEI2	FBgn0031893	MICU1
A0A0B4LHX3	FBgn0266259	CG44954
A0A0B4LH27	FBgn0266261	CG44956
Q9VM37	FBgn0031894	CG4496
Q9VM36	FBgn0031895	CG4497
Q9V3U0	FBgn0286723	hll
B7Z0Z7	FBgn0266354	CG45002
Q9V3S9	FBgn0027348	bgm
X2JA66	FBgn0266363	CG45011
X2J7Z6	FBgn0266364	CG45012
Q9VYE7	FBgn0283680	IP3K2
Q6NNF2	FBgn0266377	Pde8
Q9VM35	FBgn0031896	CG4502
Q9VCV1	FBgn0266409	CG45049
Q9VHF4	FBgn0266410	CG45050
Q24167	FBgn0266411	sima
Q9VV43	FBgn0266417	ringer
Q9VCW7	FBgn0266418	wake
X2JJ74	FBgn0266430	CG45060
X2JEB1	FBgn0266431	CG45061
A0A0B4LG94	FBgn0266432	CG45062
A0A0B4LGC2	FBgn0266433	CG45063
X2JKA0	FBgn0266434	CG45064
Q8MQY9	FBgn0266435	CG45065
M9NEZ1	FBgn0266436	CG45066
A0A1L4AAC2	FBgn0266437	CG45067
Q8MT80	FBgn0266438	PIG-Z
A0A0B4LGM3	FBgn0266439	CG45069
Q9VUL1	FBgn0266452	CTPsyn
X2J927	FBgn0266441	CG45071
E1JJ19	FBgn0266442	CG45072
A0A0B4LHV7	FBgn0266443	CG45073
P08155	FBgn0266450	Kr-h1
X2J761	FBgn0266445	CG45075
C0HK92	FBgn0266446	CG45076
C0HK95	FBgn0266451	fau
C0HK94	FBgn0266448	CG45078
A0A0B4LHJ2	FBgn0266454	CG45079
A0A0B4LH65	FBgn0266455	CG45080
X2JD42	FBgn0266456	CG45081
X2JAK7	FBgn0266459	CG45084
A0A0B4LEZ9	FBgn0266486	CG45085
A0A0B4LG97	FBgn0266487	CG45086
A0A0B4LFN2	FBgn0266488	CG45087
A0A0B4LFA8	FBgn0266489	CG45088
X2JCX4	FBgn0266490	CG45089
C0HJH4	FBgn0266491	SclA
C0HJH3	FBgn0266492	SclB
A0A0B4LEQ5	FBgn0266525	CG45092
A0A0B4LHM2	FBgn0266534	CG45095
A0A0B4LIG4	FBgn0266538	CG45099
Q9VDS6	FBgn0038746	Surf6
A0A0B4LGP2	FBgn0266539	CG45100
X2JGJ5	FBgn0266540	CG45101
Q6NR11	FBgn0266566	CG45105
Q9VGV8	FBgn0037843	CG4511
Q9VB13	FBgn0266579	tau
X2JD74	FBgn0266591	CG45116
A0A0B4LH46	FBgn0266615	CG45122
X2JGC6	FBgn0266647	CG45154
Q0E8J1	FBgn0266696	Svil
Q9VF44	FBgn0038355	CG4520
Q9VXD9	FBgn0030766	mthl1
A0A0B4LHG3	FBgn0266745	CG45218
Q0KHV6	FBgn0029891	Pink1
Q9VF41	FBgn0038358	Ttc26
A0A0B4K609	FBgn0266801	CG45263
Q59E61	FBgn0035001	Slik
P43332	FBgn0003449	snf
X2JDL1	FBgn0266845	CG45307
Q00805	FBgn0004569	aos
A8JV09	FBgn0029903	pod1
P82147	FBgn0011296	l(2)efl
Q9VL78	FBgn0029174	Fkbp59
Q9W3W0	FBgn0086693	iav
Q9VL77	FBgn0032153	CG4537
A0A0B4LID7	FBgn0038745	ClpX
Q9VL75	FBgn0010520	Bka
X2J8R6	FBgn0266962	CG45413
Q9W3V8	FBgn0029906	xit
X2JBG1	FBgn0266977	CG45428
P51905	FBgn0010414	SerT
Q9VF23	FBgn0038373	CG4546
Q9W3V7	FBgn0029907	Atx-1
H1UUK0	unknown ID	-
Q9GQN5	FBgn0039338	XNP
X2JLC4	FBgn0267042	CG45486
X2JFV5	FBgn0267043	CG45487
X2JEG9	FBgn0264309	CG43784
X2JEG9	FBgn0267044	CG45488
X2JEG9	FBgn0267049	CG45493
X2JEG9	FBgn0267050	CG45494
H9ZYP9	FBgn0267045	CG45489
X2JEG4	FBgn0267046	CG45490
X2JLD3	FBgn0267047	CG45491
X2JFW2	FBgn0267048	CG45492
X2JEG9	FBgn0264309	CG43784
X2JEG9	FBgn0267044	CG45488
X2JEG9	FBgn0267049	CG45493
X2JEG9	FBgn0267050	CG45494
X2JEG9	FBgn0264309	CG43784
X2JEG9	FBgn0267044	CG45488
X2JEG9	FBgn0267049	CG45493
X2JEG9	FBgn0267050	CG45494
P06002	FBgn0002940	ninaE
Q9V3D5	FBgn0016930	Dyrk2
Q9VPW9	FBgn0031304	TBC1D23
Q9VBR0	FBgn0039336	CG4553
Q9W246	FBgn0034734	CG4554
A0A0B4LHT8	FBgn0267104	CG45544
A0A0B4LGW0	FBgn0267105	CG45545
A0A0B4LHW5	FBgn0267106	CG45546
Q9W3V2	FBgn0029912	CG4557
E1JJF2	FBgn0029914	CG4558
Q8MLZ7	FBgn0020414	Idgf3
Q9VF28	FBgn0038369	Arpc3A
X2JDD8	FBgn0267163	CG45603
Q9VV60	FBgn0027080	TyrRS
Q5BI72	FBgn0038740	CG4562
Q9W171	FBgn0035006	CG4563
Q9VGW0	FBgn0037841	CG4565
Q9VM33	FBgn0263133	mEFG1
A0A0B4LH10	FBgn0267236	CG45676
O18412	FBgn0011596	fzo
Q27575	FBgn0017556	Prosalpha4T2
X2JA25	FBgn0267254	CG45690
X2JEG0	FBgn0267255	CG45691
Q9VGV7	FBgn0037844	CG4570
Q9VDT5	FBgn0038738	CG4572
Q9VV59	FBgn0036629	GluRS-m
P25455	FBgn0004611	Plc21C
Q9VF31	FBgn0038366	CG4576
A8QI34	FBgn0267363	JYalpha
D0EP91	FBgn0267490	Mst77Y-4
D0EP89	FBgn0267411	CG45764
D0EP89	FBgn0267413	CG45766
D0EP95	FBgn0267412	CG45765
D0EP95	FBgn0267417	CG45770
D0EP89	FBgn0267411	CG45764
D0EP89	FBgn0267413	CG45766
D0EP96	FBgn0267491	Mst77Y-13
D0EP92	FBgn0267492	Mst77Y-7
D0EP94	FBgn0267493	Mst77Y-9
M9PDX2	FBgn0031306	CG4577
D0EP95	FBgn0267412	CG45765
D0EP95	FBgn0267417	CG45770
Q7PLL7	FBgn0267428	DIP-lambda
A0A0S0WGX2	FBgn0267429	lovit
A0A126GUQ2	FBgn0267430	Pzl
A0A0A1EI90	FBgn0267431	Myo81F
A8Y5B7	FBgn0267432	kl-3
Q5LJN5	FBgn0267433	kl-5
A8QI68	FBgn0267489	PRY
Q9V463	FBgn0021761	Nup154
B4F7L9	FBgn0267449	WDY
Q9VJK5	FBgn0032585	Nepl8
Q9W1H8	FBgn0025352	Mtpbeta
Q9VBQ2	FBgn0039344	CG4582
A8JR46	FBgn0261984	Ire1
Q8IPB1	FBgn0250837	dUTPase
O77475	FBgn0025335	Cpes
Q9W3U0	FBgn0029924	CG4586
A8DZ06	FBgn0028863	CG4587
P91927	FBgn0284252	Letm1
Q9V427	FBgn0027108	Inx2
Q9VGV3	FBgn0037848	Tsp86D
Q9VL66	FBgn0032162	CG4592
Q9W3T2	FBgn0029929	CG4593
A0A0S0X8W1	FBgn0267592	CCY
Q9VL67	FBgn0032161	CG4594
Q9VGV1	FBgn0037849	CG4596
Q9VRK2	FBgn0035594	CG4597
Q9VL68	FBgn0032160	CG4598
A0A126GUX4	FBgn0267648	pre-mod(mdg4)-G
A0A126GUW5	FBgn0267649	pre-mod(mdg4)-H
A0A126GV02	FBgn0267650	pre-mod(mdg4)-AA
A0A126GV05	FBgn0267651	pre-mod(mdg4)-O
M9PDJ9	FBgn0032586	Tpr2
A0A126GUY7	FBgn0267652	pre-mod(mdg4)-N
Q9VL70	FBgn0040064	yip2
Q9VL71	FBgn0024285	Srp54
Q8T3J9	FBgn0267689	CG46025
A0A126GUR2	FBgn0267690	CG46026
Q9VRJ9	FBgn0035593	CG4603
A1Z991	FBgn0033799	GLaz
O46203	FBgn0023415	Acp32CD
A0A0S0WGU5	FBgn0267726	CG46059
Q9VF33	FBgn0026616	alpha-Man-IIb
Q9W3S8	FBgn0029932	CG4607
Q86NQ2	FBgn0014135	bnl
Q95RI5	FBgn0014163	fax
Q9W245	FBgn0034735	CG4610
Q9VRJ7	FBgn0035591	CG4611
Q9W158	FBgn0035016	CG4612
M9NDN5	FBgn0267796	Tmc
Q9VUF0	FBgn0036427	CG4613
Q7JXA2	FBgn0267824	PRAS40
E1JHE4	FBgn0267828	Fatp1
Q9W3S5	FBgn0029935	CG4615
Q7K0L8	FBgn0033806	FLASH
Q9W3S4	FBgn0029936	CG4617
Q9VRJ5	FBgn0035589	CHMP2B
Q7KTG0	FBgn0032166	CG4619
A0A0S0X8W6	FBgn0267903	CG46191
A0A0S0X2Z1	FBgn0267904	CG46192
A0A0S0X9R6	FBgn0267905	CG46193
Q86B79	FBgn0004395	unk
Q9VKM6	FBgn0032321	YL-1
Q2PE14	FBgn0035021	CG4622
M9PBQ8	FBgn0035587	Gdap1
Q9VCQ3	FBgn0039058	VhaAC39-2
A0A0S0WGX5	FBgn0267964	CG46244
Q9VBQ6	FBgn0040212	Dhap-at
Q9NBW1	FBgn0027342	fz4
Q059A4	FBgn0033808	CG4627
A0A126GUS8	FBgn0278600	CG46270
Q8IRZ3	FBgn0052823	Sdic3
Q8IRZ3	FBgn0283432	SdicA
Q8IRZ3	FBgn0283433	SdicB
Q8IRZ3	FBgn0052823	Sdic3
Q8IRZ3	FBgn0283432	SdicA
Q8IRZ3	FBgn0283433	SdicB
T2FGB0	FBgn0283434	SdicC
Q9VG01	FBgn0283438	CG46280
A8JQZ1	FBgn0283439	CG46281
B6JUP5	FBgn0283440	solo
P09052	FBgn0283442	vas
A0A1L4AAD6	FBgn0283503	Neurl4
Q9VPW3	FBgn0031299	CG4629
A0A384TPA0	FBgn0283625	CG46298
A0A0B4KFK6	FBgn0033809	CG4630
A0A1W5PW03	FBgn0283651	CG46301
Q7PL72	FBgn0058439	CG40439
Q7PL72	FBgn0284080	CG46302
A0A1Z1CSL7	FBgn0284081	CG46303
A0A1W5PX42	FBgn0284082	CG46304
A0A384TTL1	FBgn0284083	CG46305
A0A1Z1CLY5	FBgn0284222	CG46306
A0A1W5PW68	FBgn0284223	CG46307
A0A1W5PW65	FBgn0284224	CG46308
A0A1W5Q0T5	FBgn0284225	CG46309
Q9VJK1	FBgn0032590	CG4631
A0A1Z1CH08	FBgn0284226	CG46310
A0A1Z1CGY8	FBgn0284227	CG46311
A0A1Z1CN75	FBgn0284228	CG46312
A0A1Z1CH02	FBgn0284229	CG46313
A0A1W5Q018	FBgn0284230	CG46314
A0A384SX97	FBgn0284231	CG46315
A0A1Z1CK60	FBgn0284232	CG46316
A0A1Z1CH01	FBgn0284233	CG46317
A0A1Z1CH22	FBgn0284234	CG46318
A0A384TLR6	FBgn0284235	CG46319
A0A1L4AAF3	FBgn0284236	CG46320
A0A384TRA6	FBgn0284237	CG46321
Q9VRJ1	FBgn0028962	AlaRS-m
Q7K4V4	FBgn0285962	CG46338
A8JRD7	FBgn0285963	CG46339
O77460	FBgn0016687	Nurf-38
H5V8D0	FBgn0041781	SCAR
Q02936	FBgn0004644	hh
A1Z745	FBgn0286778	CG46385
Q9U3V8	FBgn0286809	xmas
Q9V6L9	FBgn0043010	Fsn
E1JIB2	FBgn0286980	Iyd
Q9VPW4	FBgn0261938	mtRNApol
Q9VYI1	FBgn0030435	CG4645
A1Z9A2	FBgn0033810	CG4646
Q9VYI3	FBgn0030433	mRpL49
O96299	FBgn0022359	Sodh-2
X2JAH5	FBgn0032549	CG4650
P41126	FBgn0011272	RpL13
Q9VXC6	FBgn0030776	CG4653
Q24318	FBgn0011763	Dp
Q9VCQ7	FBgn0039055	Rassf
Q9VL57	FBgn0032170	CG4658
Q9V3D9	FBgn0010747	Srp54k
Q9W439	FBgn0029839	CG4660
Q9VYI8	FBgn0030429	CG4661
E1JIQ4	FBgn0038735	MICU3
Q7JRD4	FBgn0033812	Pex13
Q9VSU6	FBgn0035964	Dhpr
Q9W440	FBgn0029838	CG4666
Q9VRK6	FBgn0035598	CG4669
Q7JQR3	FBgn0033814	Qsox1
M9PFR2	FBgn0028399	Serinc
Q9VBP9	FBgn0039348	Npl4
Q9VGU4	FBgn0037856	Leash
Q0IGS7	FBgn0033815	CG4676
A0A0B4KGM2	FBgn0039039	lmd
A0A023GPN7	FBgn0030778	CG4678
A1Z9A8	FBgn0033816	CG4679
Q9VV55	FBgn0036627	Gagr
Q9W144	FBgn0069913	CG4681
Q9VGU3	FBgn0037857	Tengl4
Q9VBP6	FBgn0039349	Ssadh
Q9VDT4	FBgn0038739	CG4686
Q7JYX0	FBgn0033817	GstE14
Q9W441	FBgn0029837	Tsp5D
Q9V3K5	FBgn0028870	CG4691
Q9W141	FBgn0035032	ATPsynF
Q9VJJ6	FBgn0001185	her
P14318	FBgn0002789	Mp20
Q9VJR9	FBgn0028838	CSN1a
P40589	FBgn0010453	Wnt4
A4V2Z1	FBgn0262527	nsl1
Q24323	FBgn0011260	Sema2a
Q9V3Q1	FBgn0028868	CG4701
A0A0B4K6G0	FBgn0037992	CG4702
Q9VDT1	FBgn0038742	Arc42
Q9VCT5	FBgn0039029	CG4704
Q9VKK2	FBgn0032339	Wdr59
Q8T4D6	FBgn0037862	mAcon2
Q9W137	FBgn0035036	CG4707
Q9VL59	FBgn0032169	CG4709
Q9VPW8	FBgn0016926	Pino
Q7KT57	FBgn0267347	squ
A1Z9B0	FBgn0033818	CG4712
Q9VKJ9	FBgn0261983	l(2)gd1
A1Z9B2	FBgn0033819	CG4714
Q9VPX0	FBgn0031305	Iris
Q7JRN6	FBgn0033820	CG4716
P10734	FBgn0001320	kni
Q9VBP3	FBgn0027508	Tnks
Q9VDS9	FBgn0014006	Ask1
Q9VCU1	FBgn0039024	Nepl15
P23645	FBgn0000180	bib
Q9VCU2	FBgn0039023	Nepl14
Q9VCU3	FBgn0039022	Nepl13
Q9VPX2	FBgn0031307	MFS3
D5AEK7	FBgn0036623	Agpat3
A0A0B4KHV9	FBgn0039355	CG4730
Q9I7J1	FBgn0038744	CG4733
A1Z9B8	FBgn0033826	CG4734
Q9W1I9	FBgn0003401	shu
Q9VKJ3	FBgn0262647	Nup160
Q9VGT4	FBgn0040257	Ugt302E1
Q95NH6	FBgn0041579	AttC
H0RN67	FBgn0035040	CG4741
Q9VXB5	FBgn0030786	mRpL22
Q9VBN7	FBgn0039357	CG4743
A1Z9C4	FBgn0033834	CG4744
Q9U3W6	FBgn0029003	mab-21
Q8T079	FBgn0043456	Ndf
Q9VPX3	FBgn0283525	l(2)10685
Q7K2S9	FBgn0259795	loopin-1
Q9VKJ1	FBgn0032348	CG4751
Q9W247	FBgn0034733	CG4752
Q9VV49	FBgn0036622	Agpat4
Q9VDS5	FBgn0038747	RhoGAP92B
Q9VXB3	FBgn0030788	Sap30
Q9Y141	FBgn0027584	CG4757
C6SV41	FBgn0011584	Trp1
Q9VBN5	FBgn0039359	RpL27
Q24207	FBgn0011206	bol
P13054	FBgn0001323	knrl
Q9W1J1	FBgn0034910	CG4763
Q9VPX5	FBgn0031310	Vps29
Q9Y106	FBgn0027546	CG4766
Q9V3M9	FBgn0028902	Tektin-A
Q9VXB1	FBgn0030790	CG4768
Q9VRL0	FBgn0035600	Cyt-c1
Q9VDS1	FBgn0038751	CG4770
Q9VCU7	FBgn0263143	vret
Q9VGS7	FBgn0040252	Ugt303A1
Q8MZC4	FBgn0039360	CLS
Q9VPX8	FBgn0031312	Tango14
Q9Y156	FBgn0027600	obst-B
Q9VKJ0	FBgn0040211	hgo
Q9VRL2	FBgn0260856	Membrin
Q9W128	FBgn0035043	CG4781
A0A0B4LIE1	FBgn0038756	CG4783
Q9VV46	FBgn0036619	Cpr72Ec
Q9VPY0	FBgn0031314	IntS14
Q8SXY5	FBgn0037012	Rcd2
Q9VKI2	FBgn0032354	CG4788
Q9VXA9	FBgn0030792	CG4789
Q9W451	FBgn0005390	fs(1)M3
Q9VCU9	FBgn0039016	Dcr-1
Q8IP30	FBgn0028514	CG4793
Q02910	FBgn0261714	Cpn
Q8MLQ7	FBgn0034909	CG4797
A1ZAS3	FBgn0022029	l(2)k01209
P52295	FBgn0287720	Pen
Q9VGS2	FBgn0037874	Tctp
Q9V813	FBgn0034215	Mtap
Q9VCV0	FBgn0039015	Takl2
Q9VL44	FBgn0032178	Spn31A
Q86LG1	FBgn0030795	ppk28
Q9W124	FBgn0260456	CG4806
Q9VGC7	FBgn0037994	eIF3d2
Q4V3S6	FBgn0019928	Ser8
Q9VCV3	FBgn0039013	CG4813
Q9VAX6	FBgn0039568	CG4815
A0A0B4KFT9	FBgn0022987	qkr54B
Q05344	FBgn0010278	Ssrp
Q9VV44	FBgn0036617	Cpr72Ea
A8JQX6	FBgn0037876	CG4820
E1JI93	FBgn0023479	teq
Q9VPJ7	FBgn0031220	CG4822
Q24009	FBgn0000182	BicC
M9PIC3	FBgn0287585	Pss
Q7K0L5	FBgn0034225	veil
A8JV25	FBgn0030796	CG4829
Q9VGC5	FBgn0037996	CG4830
P54623	FBgn0013765	cnn
Q9VRL7	FBgn0035607	CG4835
B7Z0M8	FBgn0270925	CG4836
Q9VJM4	FBgn0028644	beat-Ic
Q9VL34	FBgn0032187	CG4839
A0A0B4K775	FBgn0086757	cbs
Q9VV47	FBgn0036620	CG4842
P09491	FBgn0004117	Tm2
Q9VDQ7	FBgn0243511	psidin
X2J8L2	FBgn0013433	beat-Ia
Q7K5N8	FBgn0034229	CG4847
Q9VGC3	FBgn0037998	Cog1
Q9VAX8	FBgn0039566	CG4849
Q9VKH6	FBgn0032358	Ppt2
Q9U1H8	FBgn0029121	Sras
A0A0B4LFJ8	FBgn0034230	CG4853
Q9VDQ5	FBgn0038766	CG4854
Q9W4M7	FBgn0026083	tyf
Q9VPD2	FBgn0037011	CG4858
A0A0B4JCU7	FBgn0035049	Mmp1
Q9VGC2	FBgn0037999	CG4860
O16797	FBgn0020910	RpL3
Q9W4M8	FBgn0026085	dgt4
Q7JZ53	FBgn0034232	CG4866
Q9V3L0	FBgn0040239	bc10
Q8MST5	FBgn0003890	betaTub97EF
Q9GU23	FBgn0035050	SiaT
Q8SY58	FBgn0030799	CG4872
Q9VX99	FBgn0030801	Rcp
Q9VV52	FBgn0036624	RAF2
Q0E940	FBgn0034237	eIF3b
Q59E27	FBgn0027375	RecQ5
M9PHD6	FBgn0030803	CG4880
Q9VKH3	FBgn0000287	salr
O77477	FBgn0025336	CG4882
Q9VAX9	FBgn0039565	CG4884
Q9V3G3	FBgn0028382	cyp33
Q9VPY4	FBgn0031318	CG4887
P09615	FBgn0284084	wg
Q9VJM3	FBgn0028520	CG4891
Q9VJM2	FBgn0028884	CG4892
Q24270	FBgn0001991	Ca-alpha1D
M9NDC4	FBgn0031319	CG4896
P32100	FBgn0005593	RpL7
P49455	FBgn0003721	Tm1
Q7KNR7	FBgn0011693	Pdh
Q9VCV4	FBgn0024958	Irp-1A
Q9VL25	FBgn0032194	CG4901
A1ZAV3	FBgn0034240	MESR4
P12881	FBgn0250843	Prosalpha6
Q0E952	FBgn0034135	Syn2
Q9VCV7	FBgn0039010	CG4907
Q9VL22	FBgn0032195	CG4908
Q7K4D1	FBgn0040294	POSH
Q9VCW0	FBgn0039007	CCAP
M9PEL5	FBgn0035959	CG4911
Q9VL18	FBgn0032198	eEF1delta
A0A0B4KG69	FBgn0026441	ear
Q9VUG2	FBgn0036436	CG4914
P23128	FBgn0004419	me31B
Q8IMZ9	FBgn0039003	wfs1
P05389	FBgn0003274	RpLP2
Q9VCW6	FBgn0046114	Gclm
P13582	FBgn0000533	ea
Q7KY04	FBgn0016701	Rab4
P21750	FBgn0003313	sala
A1ZAW5	FBgn0029079	icln
Q9VV40	FBgn0036614	Golgin104
Q24488	FBgn0010407	Ror
Q4V3U8	FBgn0034139	CG4927
Q9Y115	FBgn0027556	CG4928
Q9V3V9	FBgn0028515	EndoGI
Q9VF87	FBgn0038320	Cyfip
Q9VV41	FBgn0283681	Tcs3
Q24157	FBgn0000221	brn
Q9VJL9	FBgn0028897	CG4935
Q9VDQ3	FBgn0038768	CG4936
Q0KHR5	FBgn0030808	RhoGAP15B
Q9VF85	FBgn0021750	SerRS-m
Q9VST8	FBgn0035960	CG4942
Q9V853	FBgn0029006	Smurf
O97428	FBgn0026084	cib
A0A0B4LFM3	FBgn0034137	CG4945
Q9VL13	FBgn0259482	Mob3
Q9VPY8	FBgn0031321	Tgt
Q9VX87	FBgn0030813	CG4949
